Ref,Val,Package,PosX,PosY,Rot,Side
"MX1","MX-NoLED","MX-1U-NoLED",74.509000,-63.817000,0.000000,top
"MX2","MX-NoLED","MX-1U-NoLED",93.551117,-63.814802,0.000000,top
